ticker,event_date,horizon,direction,surprise_pct,stock_return,spy_return,abnormal_return,direction_correct
SYK,2025-10-30,5,short,-13.15,-4.098339621228312,-1.4003448402892498,2.6979947809390614,True
SYK,2025-10-30,10,short,-13.15,1.2170432422441873,-1.1458770493401877,-2.362920291584375,False
SYK,2025-05-01,1,short,-25.83,1.557368928472498,1.4844129127253551,-0.07295601574714289,False
SYK,2025-05-01,3,short,-25.83,1.3694083817987421,0.059085125692688804,-1.3103232561060534,False
SYK,2025-05-01,5,short,-25.83,2.6958669175239254,1.180022263319578,-1.5158446542043473,False
SYK,2025-05-01,10,short,-25.83,5.311200130760993,5.728150939558514,0.4169508087975213,True
SYK,2024-04-30,1,long,6.12,-2.8224505031156433,-0.32470268073850694,-2.4977478223771366,False
SYK,2024-04-30,3,long,6.12,-2.7246951748983315,1.8546619068599441,-4.579357081758276,False
SYK,2024-04-30,5,long,6.12,-1.6318525119318554,3.0200444324740046,-4.65189694440586,False
SYK,2024-04-30,10,long,6.12,-3.9537964392087726,4.247184049146613,-8.200980488355386,False
SYK,2024-01-30,1,long,5.88,6.450903199169232,-1.6317298187282712,8.082633017897503,True
SYK,2024-01-30,3,long,5.88,8.535632261231942,0.7048437607296223,7.83078850050232,True
SYK,2024-01-30,5,long,5.88,7.812155408828686,0.6294541406959901,7.182701268132696,True
SYK,2024-01-30,10,long,5.88,7.8216734135262245,0.6498314401289073,7.171841973397316,True
SYK,2023-08-03,1,long,6.8,3.801372069474977,-0.45227387485355425,4.2536459443285315,True
SYK,2023-08-03,3,long,6.8,3.296487421984428,-0.02005522684334038,3.3165426488277685,True
SYK,2023-08-03,5,long,6.8,3.545287568650458,-0.6527839069369896,4.198071475587447,True
SYK,2023-08-03,10,long,6.8,1.6866565883650395,-2.7960815648680293,4.482738153233069,True
SYK,2023-05-01,1,long,6.86,-1.9058592362153903,-1.1239171770321819,-0.7819420591832086,False
SYK,2023-05-01,3,long,6.86,-4.996645888931068,-2.498127987711387,-2.4985179012196816,False
SYK,2023-05-01,5,long,6.86,-3.7816873891307763,-0.6666508423654603,-3.115036546765316,False
